brand,menu,star,review
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(순살),후라이드반 선택(후라이드반),양념반 선택(양념반),콜라 사이즈 선택(콜라 1.25L 로 변경),음료 추가 선택(추가없음),추가 선택(케이준감자튀김（300g）추가))",5,맛있게 잘 먹었습니다
오태식해바라기치킨-송정점,"옛날통닭＋똥집튀김＋콜라500ml /1(음료 추가 선택(추가없음),추가 선택(치즈스틱 4개추가))",5,맛있게 잘먹었습니다
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반을 불바라기로 변경),음료 추가 선택(추가없음))",5,"간만에 맛있게 먹었네요~
서비스도 감사합니다~
다음에 또 주문할께요~"
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반을 양념으로 변경),양념반 선택(양념반을 매콤갈비로변경),콜라 사이즈 선택(콜라 1.25L 로 변경),음료 추가 선택(추가없음))",5,너무 맛있고 서비스도 좋네요
오태식해바라기치킨-송정점,"세트2.（후라이드＋치즈스틱＋콜라 1.25L）/1(메뉴 선택(윙봉),메뉴 추가 선택(추가 없음),음료 추가 선택(추가없음),추가 선택(씨앗호떡5개추가))",5,윙 맛있음 자주 시킬게용
오태식해바라기치킨-송정점,"조판수양념치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,양도 많고 정말 맛있습니다.
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",4,잘먹었습니다~자주이용할께요
오태식해바라기치킨-송정점,"세트7.（후라이드＋후라이드＋콜라 1.25L）/1(메뉴 선택 1(순살),메뉴 추가 선택 1(양념으로 변경),메뉴 선택 2(순살),메뉴 추가 선택 2(간장으로 변경),음료 추가 선택(추가없음))",5,"애들이 배고파서 정신없이 먹다보니 사진찍는걸  깜밖하고 먹다가 중간에 찍었습니다 이해해주세요~  오늘은 저번에 먹을때 보다 조금 느끼하다고 느꼈어요~
하지만 소스는 넘 맛있었어요 
항상주시는 감자도 양도 많코 맛도있어요 
잘먹었습니다~"
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반을 간장으로 변경),음료 추가 선택(추가없음),추가 선택(치즈볼 3개추가))",5,기름도 깨끗한 거 같고 맛있개 잘 먹었습니다!
오태식해바라기치킨-송정점,"옛날통닭＋똥집튀김＋콜라500ml /1(음료 추가 선택(추가없음),추가 선택(치즈볼 3개추가))",5,맛있게 잘먹었어요 치즈볼이랑 닭똥집도 맛있음
오태식해바라기치킨-송정점,"창무매콤갈비치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",4,"밥이랑 같이 먹으려고 갈비양념된 치킨으로 찾다가 딱이다 싶어 주문합니다.
늘 빨리 배달해주셔서 딱 배고플때 맛있게 먹었어요."
오태식해바라기치킨-송정점,"세트7.（후라이드＋후라이드＋콜라 1.25L）/1(메뉴 선택 1(순살),메뉴 추가 선택 1(간장으로 변경),메뉴 선택 2(순살),메뉴 추가 선택 2(간장으로 변경),음료 추가 선택(추가없음))",5,이제 오태식해바라기 치킨으로 정착했어요..간장치킨 넘 맛나요
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음),추가 선택(치즈볼 3개추가))",5,"문앞에 두고 문자 남겨달라고하였는데
전화 후 십분뒤에 문자 남겨두셔서 아쉽 ㅠ
모르는 번호는 받지않아서 ㅠㅠㅠㅠ
치킨은 맛있게 잘먹었습니다 -!"
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음),추가 선택(치즈스틱 4개추가))",5,항상 늘 맛있어요 감자튀김이 정말 맛있어요
오태식해바라기치킨-송정점,"세트7.（후라이드＋후라이드＋콜라 1.25L）/1(메뉴 선택 1(뼈),메뉴 추가 선택 1(추가 없음),메뉴 선택 2(뼈),메뉴 추가 선택 2(불바라기로 변경),음료 추가 선택(추가없음))",5,좋네요   맛도있구 양도 좋구
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음))",5,후라이드가 바삭해서 맛있게 잘먹었습니다~
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,치킨도 크고 맛있어요 리뷰이벤트로 주신것도 잘먹었어요
오태식해바라기치킨-송정점,"세트3.（후라이드＋치즈볼＋콜라 1.25L）/1(메뉴 선택(뼈),메뉴 추가 선택(매콤갈비로 변경),음료 추가 선택(추가없음),추가 선택(우유튀김 7개추가,무 추가,로제떡볶이))",5,맛있게 잘먹었습니다~ 로제떡볶이 완전 맛있어요 많이파세요~~
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(순살),후라이드반 선택(후라이드반),양념반 선택(양념반을 홀갈릭마요로 변경),음료 추가 선택(추가없음)),치즈볼（6개）/1",5,인생치킨이에요 너무 맛있어요 배달도 빨라요
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반을 간장으로 변경),음료 추가 선택(추가없음),추가 선택(양념소스 추가))",5,"처음시켜봤는데 기대 이상이었어요
간장 양념이 정말 맛있네요"
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음))",5,맛있어요 다음에 또 시켜먹을게요
오태식해바라기치킨-송정점,"조판수양념치킨/1(메뉴 선택(순살),음료 추가 선택(추가없음))",4,다시 주문하고 싶은집이네
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음),추가 선택(양념소스 추가))",5,안 느끼하고 맛있어요 치킨은 여기서만 시켜요 잘 먹겠습니다
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(순살),음료 추가 선택(추가없음))",5,후라이드라서 그런건지는 모르겠지만 치킨이 싱거운 편입니다. 그래서 동봉된 소금이나 양념과 같이 먹는게 좋아요. 깨끗한 기름에 튀겼는지 치킨 색은 아주 좋았습니다. 사진보다 더 밝은 색이였어요. 이벤트로 받은 닭똥집은 씹는맛이 강한게 쫄깃쫄깃했습니다. 케이준 감자튀김도 적당히 짭잘하게 맛있었습니다. 치킨에 간이 조금만 더 되어있으면 아주 좋을거같아요!!
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,"맛양배달어디하나빠지지않아요
최곱니다"
오태식해바라기치킨-송정점,"병진이형 간장치킨/1(메뉴 선택(뼈),콜라 사이즈 선택(콜라 1.25L 로 변경),음료 추가 선택(추가없음),추가 선택(똥집튀김（소） 추가))",4,맛도 좋고  배달도 빨라 좋은데 1회용수저 달라고했는데  안주셨네요 별하나 깍았읍니다~~
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(윙봉),음료 추가 선택(추가없음)),조판수양념치킨/1(메뉴 선택(순살),음료 추가 선택(추가없음))",5,맛 양 배달 대만족 입니다.
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음))",3,"양은 그렇게 많지는 않습니다.

맛있어요"
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,잘먹었습니다
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,맛있게 잘 먹었습니다
